step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
1,71694,71552,142,0.001980639941975619,0.002,1
2,72300,72160,140,0.0019363762102351315,0.002,1
3,72300,72160,140,0.0019363762102351315,0.002,1
4,72300,72160,140,0.0019363762102351315,0.002,1
5,72300,72160,140,0.0019363762102351315,0.002,1
6,72300,72160,140,0.0019363762102351315,0.002,1
7,72300,72160,140,0.0019363762102351315,0.002,1
8,72300,72160,140,0.0019363762102351315,0.002,1
9,72300,72160,140,0.0019363762102351315,0.002,1
10,72300,72160,140,0.0019363762102351315,0.002,1
11,72300,72160,140,0.0019363762102351315,0.002,1
12,72300,72160,140,0.0019363762102351315,0.002,1
13,72300,72160,140,0.0019363762102351315,0.002,1
14,72300,72160,140,0.0019363762102351315,0.002,1
15,72300,72160,140,0.0019363762102351315,0.002,1
16,72300,72160,140,0.0019363762102351315,0.002,1
17,72300,72160,140,0.0019363762102351315,0.002,1
18,72300,72160,140,0.0019363762102351315,0.002,1
19,72300,72160,140,0.0019363762102351315,0.002,1
20,72300,72160,140,0.0019363762102351315,0.002,1
21,72300,72160,140,0.0019363762102351315,0.002,1
22,72300,72160,140,0.0019363762102351315,0.002,1
23,72300,72160,140,0.0019363762102351315,0.002,1
24,72300,72160,140,0.0019363762102351315,0.002,1
25,72300,72160,140,0.0019363762102351315,0.002,1
26,72300,72160,140,0.0019363762102351315,0.002,1
27,72300,72160,140,0.0019363762102351315,0.002,1
28,72300,72160,140,0.0019363762102351315,0.002,1
29,72300,72160,140,0.0019363762102351315,0.002,1
30,72300,72160,140,0.0019363762102351315,0.002,1
31,72300,72160,140,0.0019363762102351315,0.002,1
32,72300,72160,140,0.0019363762102351315,0.002,1
33,72300,72160,140,0.0019363762102351315,0.002,1
34,72300,72160,140,0.0019363762102351315,0.002,1
35,72300,72160,140,0.0019363762102351315,0.002,1
36,72300,72160,140,0.0019363762102351315,0.002,1
37,72300,72160,140,0.0019363762102351315,0.002,1
38,72300,72160,140,0.0019363762102351315,0.002,1
39,72300,72160,140,0.0019363762102351315,0.002,1
40,72300,72160,140,0.0019363762102351315,0.002,1
41,72300,72160,140,0.0019363762102351315,0.002,1
42,72300,72160,140,0.0019363762102351315,0.002,1
43,72300,72160,140,0.0019363762102351315,0.002,1
44,72300,72160,140,0.0019363762102351315,0.002,1
45,72300,72160,140,0.0019363762102351315,0.002,1
46,72300,72160,140,0.0019363762102351315,0.002,1
47,72300,72160,140,0.0019363762102351315,0.002,1
48,72300,72160,140,0.0019363762102351315,0.002,1
49,72300,72160,140,0.0019363762102351315,0.002,1
50,72300,72160,140,0.0019363762102351315,0.002,1
51,72300,72160,140,0.0019363762102351315,0.002,1
52,72300,72160,140,0.0019363762102351315,0.002,1
53,72300,72160,140,0.0019363762102351315,0.002,1
54,72300,72160,140,0.0019363762102351315,0.002,1
55,72300,72160,140,0.0019363762102351315,0.002,1
56,72300,72160,140,0.0019363762102351315,0.002,1
57,72300,72160,140,0.0019363762102351315,0.002,1
58,72300,72160,140,0.0019363762102351315,0.002,1
59,72300,72160,140,0.0019363762102351315,0.002,1
60,72300,72160,140,0.0019363762102351315,0.002,1
61,72300,72160,140,0.0019363762102351315,0.002,1
62,72300,72160,140,0.0019363762102351315,0.002,1
63,72300,72160,140,0.0019363762102351315,0.002,1
64,72300,72160,140,0.0019363762102351315,0.002,1
65,72300,72160,140,0.0019363762102351315,0.002,1
66,72300,72160,140,0.0019363762102351315,0.002,1
67,72300,72160,140,0.0019363762102351315,0.002,1
68,72300,72160,140,0.0019363762102351315,0.002,1
69,72300,72160,140,0.0019363762102351315,0.002,1
70,72300,72160,140,0.0019363762102351315,0.002,1
71,72300,72160,140,0.0019363762102351315,0.002,1
72,72300,72160,140,0.0019363762102351315,0.002,1
73,72300,72160,140,0.0019363762102351315,0.002,1
74,72300,72160,140,0.0019363762102351315,0.002,1
75,72300,72160,140,0.0019363762102351315,0.002,1
76,72300,72160,140,0.0019363762102351315,0.002,1
77,72300,72160,140,0.0019363762102351315,0.002,1
78,72300,72160,140,0.0019363762102351315,0.002,1
79,72300,72160,140,0.0019363762102351315,0.002,1
80,72300,72160,140,0.0019363762102351315,0.002,1
81,72300,72160,140,0.0019363762102351315,0.002,1
82,72300,72160,140,0.0019363762102351315,0.002,1
83,72300,72160,140,0.0019363762102351315,0.002,1
84,72300,72160,140,0.0019363762102351315,0.002,1
85,72300,72160,140,0.0019363762102351315,0.002,1
86,72300,72160,140,0.0019363762102351315,0.002,1
87,72300,72160,140,0.0019363762102351315,0.002,1
88,72300,72160,140,0.0019363762102351315,0.002,1
89,72300,72160,140,0.0019363762102351315,0.002,1
90,72300,72160,140,0.0019363762102351315,0.002,1
91,72300,72160,140,0.0019363762102351315,0.002,1
92,72300,72160,140,0.0019363762102351315,0.002,1
93,72300,72160,140,0.0019363762102351315,0.002,1
94,72300,72160,140,0.0019363762102351315,0.002,1
95,72300,72160,140,0.0019363762102351315,0.002,1
96,72300,72160,140,0.0019363762102351315,0.002,1
97,72300,72160,140,0.0019363762102351315,0.002,1
98,72300,72160,140,0.0019363762102351315,0.002,1
99,72300,72160,140,0.0019363762102351315,0.002,1
