step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
1,63776.9248046875,63740.9189453125,36.00585938,0.0005645593525442861,0.002,1
2,64422.04297,64354.037109375,68.00585938,0.0010556302818274244,0.002,1
3,69013.11376953125,68945.10791015625,68.00585938,0.0009854048840935512,0.002,1
4,69013.11376953125,68945.10791015625,68.00585938,0.0009854048840935512,0.002,1
5,69013.11376953125,68945.10791015625,68.00585938,0.0009854048840935512,0.002,1
6,69013.11376953125,68945.10791015625,68.00585938,0.0009854048840935512,0.002,1
7,69013.11376953125,68945.10791015625,68.00585938,0.0009854048840935512,0.002,1
8,69013.11376953125,68945.10791015625,68.00585938,0.0009854048840935512,0.002,1
9,69013.11376953125,68945.10791015625,68.00585938,0.0009854048840935512,0.002,1
10,69013.11474609375,68945.10888671875,68.00585938,0.0009854048701496876,0.002,1
11,69013.11474609375,68945.10888671875,68.00585938,0.0009854048701496876,0.002,1
12,69013.11474609375,68945.10888671875,68.00585938,0.0009854048701496876,0.002,1
13,69013.11474609375,68945.10888671875,68.00585938,0.0009854048701496876,0.002,1
14,69013.11474609375,68945.10888671875,68.00585938,0.0009854048701496876,0.002,1
15,69013.11474609375,68945.10888671875,68.00585938,0.0009854048701496876,0.002,1
16,69013.11474609375,68945.10888671875,68.00585938,0.0009854048701496876,0.002,1
17,69013.11474609375,68945.10888671875,68.00585938,0.0009854048701496876,0.002,1
18,69013.115234375,68945.10938,68.00585938,0.0009854048631777559,0.002,1
19,69013.115234375,68945.10938,68.00585938,0.0009854048631777559,0.002,1
20,69013.115234375,68945.10938,68.00585938,0.0009854048631777559,0.002,1
21,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
22,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
23,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
24,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
25,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
26,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
27,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
28,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
29,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
30,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
31,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
32,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
33,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
34,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
35,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
36,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
37,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
38,69013.11572265625,68945.10986328125,68.00585938,0.0009854048562058244,0.002,1
39,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
40,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
41,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
42,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
43,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
44,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
45,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
46,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
47,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
48,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
49,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
50,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
51,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
52,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
53,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
54,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
55,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
56,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
57,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
58,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
59,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
60,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
61,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
62,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
63,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
64,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
65,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
66,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
67,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
68,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
69,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
70,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
71,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
72,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
73,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
74,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
75,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
76,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
77,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
78,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
79,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
80,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
81,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
82,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
83,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
84,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
85,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
86,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
87,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
88,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
89,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
90,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
91,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
92,69013.1162109375,68945.1103515625,68.00585938,0.000985404849233893,0.002,1
