step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
1,64712,64576,136,0.0021016194832488566,0.002,1
2,65496,65184,312,0.004763649688530597,0.002,1
3,69898,69856,42,0.0006008755615325188,0.002,1
4,69898,69856,42,0.0006008755615325188,0.002,1
5,69898,69856,42,0.0006008755615325188,0.002,1
6,69898,69856,42,0.0006008755615325188,0.002,1
7,69898,69856,42,0.0006008755615325188,0.002,1
8,69898,69856,42,0.0006008755615325188,0.002,1
9,69898,69856,42,0.0006008755615325188,0.002,1
10,69898,69856,42,0.0006008755615325188,0.002,1
11,69898,69856,42,0.0006008755615325188,0.002,1
12,69898,69856,42,0.0006008755615325188,0.002,1
13,69898,69856,42,0.0006008755615325188,0.002,1
14,69898,69856,42,0.0006008755615325188,0.002,1
15,69898,69856,42,0.0006008755615325188,0.002,1
16,69898,69856,42,0.0006008755615325188,0.002,1
17,69898,69856,42,0.0006008755615325188,0.002,1
18,69898,69856,42,0.0006008755615325188,0.002,1
19,69898,69856,42,0.0006008755615325188,0.002,1
20,69898,69856,42,0.0006008755615325188,0.002,1
21,69898,69856,42,0.0006008755615325188,0.002,1
22,69898,69856,42,0.0006008755615325188,0.002,1
23,69898,69856,42,0.0006008755615325188,0.002,1
24,69898,69856,42,0.0006008755615325188,0.002,1
25,69898,69856,42,0.0006008755615325188,0.002,1
26,69898,69856,42,0.0006008755615325188,0.002,1
27,69898,69856,42,0.0006008755615325188,0.002,1
28,69898,69856,42,0.0006008755615325188,0.002,1
29,69898,69856,42,0.0006008755615325188,0.002,1
30,69898,69856,42,0.0006008755615325188,0.002,1
31,69898,69856,42,0.0006008755615325188,0.002,1
32,69898,69856,42,0.0006008755615325188,0.002,1
33,69898,69856,42,0.0006008755615325188,0.002,1
34,69898,69856,42,0.0006008755615325188,0.002,1
35,69898,69856,42,0.0006008755615325188,0.002,1
36,69898,69856,42,0.0006008755615325188,0.002,1
37,69898,69856,42,0.0006008755615325188,0.002,1
38,69898,69856,42,0.0006008755615325188,0.002,1
39,69898,69856,42,0.0006008755615325188,0.002,1
40,69898,69856,42,0.0006008755615325188,0.002,1
41,69898,69856,42,0.0006008755615325188,0.002,1
42,69898,69856,42,0.0006008755615325188,0.002,1
43,69898,69856,42,0.0006008755615325188,0.002,1
44,69898,69856,42,0.0006008755615325188,0.002,1
45,69898,69856,42,0.0006008755615325188,0.002,1
46,69898,69856,42,0.0006008755615325188,0.002,1
47,69898,69856,42,0.0006008755615325188,0.002,1
48,69898,69856,42,0.0006008755615325188,0.002,1
49,69898,69856,42,0.0006008755615325188,0.002,1
50,69898,69856,42,0.0006008755615325188,0.002,1
51,69898,69856,42,0.0006008755615325188,0.002,1
52,69898,69856,42,0.0006008755615325188,0.002,1
53,69898,69856,42,0.0006008755615325188,0.002,1
54,69898,69856,42,0.0006008755615325188,0.002,1
55,69898,69856,42,0.0006008755615325188,0.002,1
56,69898,69856,42,0.0006008755615325188,0.002,1
57,69898,69856,42,0.0006008755615325188,0.002,1
58,69898,69856,42,0.0006008755615325188,0.002,1
59,69898,69856,42,0.0006008755615325188,0.002,1
60,69898,69856,42,0.0006008755615325188,0.002,1
61,69898,69856,42,0.0006008755615325188,0.002,1
62,69898,69856,42,0.0006008755615325188,0.002,1
63,69898,69856,42,0.0006008755615325188,0.002,1
64,69898,69856,42,0.0006008755615325188,0.002,1
65,69898,69856,42,0.0006008755615325188,0.002,1
66,69898,69856,42,0.0006008755615325188,0.002,1
67,69898,69856,42,0.0006008755615325188,0.002,1
68,69898,69856,42,0.0006008755615325188,0.002,1
69,69898,69856,42,0.0006008755615325188,0.002,1
70,69898,69856,42,0.0006008755615325188,0.002,1
71,69898,69856,42,0.0006008755615325188,0.002,1
72,69898,69856,42,0.0006008755615325188,0.002,1
73,69898,69856,42,0.0006008755615325188,0.002,1
74,69898,69856,42,0.0006008755615325188,0.002,1
75,69898,69856,42,0.0006008755615325188,0.002,1
76,69898,69856,42,0.0006008755615325188,0.002,1
77,69898,69856,42,0.0006008755615325188,0.002,1
78,69898,69856,42,0.0006008755615325188,0.002,1
79,69898,69856,42,0.0006008755615325188,0.002,1
80,69898,69856,42,0.0006008755615325188,0.002,1
81,69898,69856,42,0.0006008755615325188,0.002,1
82,69898,69856,42,0.0006008755615325188,0.002,1
83,69898,69856,42,0.0006008755615325188,0.002,1
84,69898,69856,42,0.0006008755615325188,0.002,1
85,69898,69856,42,0.0006008755615325188,0.002,1
86,69898,69856,42,0.0006008755615325188,0.002,1
87,69898,69856,42,0.0006008755615325188,0.002,1
88,69898,69856,42,0.0006008755615325188,0.002,1
89,69898,69856,42,0.0006008755615325188,0.002,1
90,69898,69856,42,0.0006008755615325188,0.002,1
91,69898,69856,42,0.0006008755615325188,0.002,1
92,69898,69856,42,0.0006008755615325188,0.002,1
93,69898,69856,42,0.0006008755615325188,0.002,1
94,69898,69856,42,0.0006008755615325188,0.002,1
95,69898,69856,42,0.0006008755615325188,0.002,1
96,69898,69856,42,0.0006008755615325188,0.002,1
97,69898,69856,42,0.0006008755615325188,0.002,1
98,69898,69856,42,0.0006008755615325188,0.002,1
99,69898,69856,42,0.0006008755615325188,0.002,1
100,69898,69856,42,0.0006008755615325188,0.002,1
101,69898,69856,42,0.0006008755615325188,0.002,1
102,69898,69856,42,0.0006008755615325188,0.002,1
103,69898,69856,42,0.0006008755615325188,0.002,1
104,69898,69856,42,0.0006008755615325188,0.002,1
105,69898,69856,42,0.0006008755615325188,0.002,1
106,69898,69856,42,0.0006008755615325188,0.002,1
107,69898,69856,42,0.0006008755615325188,0.002,1
108,69898,69856,42,0.0006008755615325188,0.002,1
109,69898,69856,42,0.0006008755615325188,0.002,1
110,69898,69856,42,0.0006008755615325188,0.002,1
111,69898,69856,42,0.0006008755615325188,0.002,1
112,69898,69856,42,0.0006008755615325188,0.002,1
113,69898,69856,42,0.0006008755615325188,0.002,1
114,69898,69856,42,0.0006008755615325188,0.002,1
115,69898,69856,42,0.0006008755615325188,0.002,1
116,69898,69856,42,0.0006008755615325188,0.002,1
117,69898,69856,42,0.0006008755615325188,0.002,1
118,69898,69856,42,0.0006008755615325188,0.002,1
119,69898,69856,42,0.0006008755615325188,0.002,1
120,69898,69856,42,0.0006008755615325188,0.002,1
121,69898,69856,42,0.0006008755615325188,0.002,1
122,69898,69856,42,0.0006008755615325188,0.002,1
123,69898,69856,42,0.0006008755615325188,0.002,1
124,69898,69856,42,0.0006008755615325188,0.002,1
125,69898,69856,42,0.0006008755615325188,0.002,1
126,69898,69856,42,0.0006008755615325188,0.002,1
127,69898,69856,42,0.0006008755615325188,0.002,1
128,69898,69856,42,0.0006008755615325188,0.002,1
129,69898,69856,42,0.0006008755615325188,0.002,1
130,69898,69856,42,0.0006008755615325188,0.002,1
131,69898,69856,42,0.0006008755615325188,0.002,1
132,69898,69856,42,0.0006008755615325188,0.002,1
133,69898,69856,42,0.0006008755615325188,0.002,1
134,69898,69856,42,0.0006008755615325188,0.002,1
135,69898,69856,42,0.0006008755615325188,0.002,1
136,69898,69856,42,0.0006008755615325188,0.002,1
137,69898,69856,42,0.0006008755615325188,0.002,1
138,69898,69856,42,0.0006008755615325188,0.002,1
139,69898,69856,42,0.0006008755615325188,0.002,1
140,69898,69856,42,0.0006008755615325188,0.002,1
141,69898,69856,42,0.0006008755615325188,0.002,1
142,69898,69856,42,0.0006008755615325188,0.002,1
143,69898,69856,42,0.0006008755615325188,0.002,1
144,69898,69856,42,0.0006008755615325188,0.002,1
145,69898,69856,42,0.0006008755615325188,0.002,1
146,69898,69856,42,0.0006008755615325188,0.002,1
147,69898,69856,42,0.0006008755615325188,0.002,1
148,69898,69856,42,0.0006008755615325188,0.002,1
149,69898,69856,42,0.0006008755615325188,0.002,1
150,69898,69856,42,0.0006008755615325188,0.002,1
151,69898,69856,42,0.0006008755615325188,0.002,1
152,69898,69856,42,0.0006008755615325188,0.002,1
153,69898,69856,42,0.0006008755615325188,0.002,1
